\No	$V_ц$, мл	$\Delta P_1$, кПа	$\Delta P_2$, кПа	$P$, кПа	$\frac1P$, кПа${}^{-1}$
1	50	12,2	11,5	113,638810785	0,0087998105
2	60	-3,6	-2,6	98,688810785	0,010132861
3	70	-14,7	-14,6	87,138810785	0,0114759427
4	80	-24,1	-24,5	77,488810785	0,012905089
5	90	-32,2	-32	69,688810785	0,0143495059
6	100	-38,8	-38,9	62,938810785	0,0158884476
7	110	-43,5	-43,8	58,138810785	0,0172002142
8	120	-48,2	-48,1	53,638810785	0,0186432172
9	130	-51,4	-52	50,088810785	0,0199645387
10	140	-55	-54	47,288810785	0,0211466515
